bibItem,creatorstatement,propLabel,listpos,givenName,lastName,fullName,fullName_clusters,fullName_recon_Wikidata,fullName_recon_Wikibase
https://monumenta.wikibase.cloud/entity/Q804,https://monumenta.wikibase.cloud/entity/statement/Q804-E7248E57-FF86-4E16-BB9B-5AFD56354E15,editor,1,,,Euskaltzaindia,Euskaltzaindia,Euskaltzaindia,Euskaltzaindia
https://monumenta.wikibase.cloud/entity/Q806,https://monumenta.wikibase.cloud/entity/statement/Q806-B784891A-F66B-4D62-B639-0F2B56BBB688,author,1,Itziar,Aduriz,Itziar Aduriz,Itziar Aduriz,Itziar Aduriz,Itziar Aduriz
https://monumenta.wikibase.cloud/entity/Q806,https://monumenta.wikibase.cloud/entity/statement/Q806-610F792E-A08B-492D-AB0A-06A77E76C8A7,author,3,Eneko,Agirre,Eneko Agirre,Eneko Agirre,Eneko Agirre,Eneko Agirre
https://monumenta.wikibase.cloud/entity/Q806,https://monumenta.wikibase.cloud/entity/statement/Q806-CFFA2FDB-4401-4A47-AB9F-7C090AD63F96,author,2,Manex,Agirrezabal,Manex Agirrezabal,Manex Agirrezabal,Manex Agirrezabal,Manex Agirrezabal
https://monumenta.wikibase.cloud/entity/Q806,https://monumenta.wikibase.cloud/entity/statement/Q806-C9F6019D-B896-4026-AE62-67913992AD23,author,4,Iñaki,Alegria,Iñaki Alegria,Iñaki Alegria,Iñaki Alegria,Iñaki Alegria
https://monumenta.wikibase.cloud/entity/Q799,https://monumenta.wikibase.cloud/entity/statement/Q799-D14286E5-2A63-4215-BF63-492280CACBF3,author,1,Padrig,An Habask,Padrig An Habask,Padrig An Habask,Padrig An Habask,Padrig An Habask
https://monumenta.wikibase.cloud/entity/Q1260,https://monumenta.wikibase.cloud/entity/statement/Q1260-22F9E2A6-8EC7-44F1-8CA3-699A3589DC6E,editor,3,Ana Ostroški,Anić,Ana Ostroški Anić,Ana Ostroški Anić,Ana Ostroški Anić,Ana Ostroški Anić
https://monumenta.wikibase.cloud/entity/Q1268,https://monumenta.wikibase.cloud/entity/statement/Q1268-38167DFD-32C9-4BBB-8B9A-59298E8ECC27,author,1,Edurne,Aramburu Carrera,Edurne Aramburu Carrera,Edurne Aramburu Carrera,Edurne Aramburu Carrera,Edurne Aramburu Carrera
https://monumenta.wikibase.cloud/entity/Q798,https://monumenta.wikibase.cloud/entity/statement/Q798-F8B25CAE-2BD5-46E6-AB4A-0EB7B4446CF7,author,1,Aitor,Arana,Aitor Arana,Aitor Arana,Aitor Arana,Aitor Arana
https://monumenta.wikibase.cloud/entity/Q1267,https://monumenta.wikibase.cloud/entity/statement/Q1267-8163C8B9-04D4-4324-9A2B-EA35ED883DE6,author,1,Aitor,Arana,Aitor Arana,Aitor Arana,Aitor Arana,Aitor Arana
