lexeme,lemma
L113,aar
L150,aaztru
L154,aaztumen
L155,aba
L156,ababor
L157,abad
L158,abade
L159,abadegai
L160,abadegi
L161,abadegintza
L162,abadego
L163,abadeki
L164,abadekuntza
L165,abadesa
L166,abadetar
L167,abadetasun
L168,abadetegi
L169,abadetu
L170,abadetza
L171,abadia
L172,abadota
L173,abagadaldi
L174,abagune
L180,abaildu
L181,abaildura
L182,abailera
L183,abajatu
L184,abakando
L185,abakondo
L186,abalu
L206,abaña
L187,abandonamendu
L188,abandonatu
L191,abant
L192,abantada
L193,abantaila
L194,abantailatsu
L195,abantailatu
L196,abantailatuki
L197,abantailos
L198,abantailoski
L199,abantalde
L200,abantari
L201,abantatu
L202,abantzamendu
L203,abantzatu
L204,abantzu
L205,abantzuño
L207,abao
L208,abar
L209,abarats
L210,abarauts
L211,abareta
L212,abargia
L213,abario
L214,abarizia
L215,abarizios
L216,abarizketa
L217,abarka
L218,abarkadabu
L219,abarkadun
L220,abarkagile
L221,abarkagintza
L222,abarkari
L223,abarkatu
L224,abarketa
L225,abarketadun
L226,abarketari
L227,abaro
L228,abaroaldi
L229,abaroleku
L230,abarotoki
L231,abarotsu
L232,abarrada
L233,abarrakitu
L234,abarrarte
L235,abarraxe
L236,abarreria
L237,abarreztatu
L238,abarrikatu
L239,abarroska
L240,abarrots
L241,abarrotslari
L242,abartegi
L243,abartoki
L244,abartsu
L245,abartu
L246,abartxo
L247,abarxka
L248,abarxkila
L249,abasberuan
L250,abastant
L251,abastoki
L252,abastu
L253,abat
L254,abatako
L255,abatari
L256,abatatu
L257,abatetxe
L258,abatorraze
L259,abatz
L260,abauts
L261,abaxamendu
L262,abaxatu
L263,abaxu
L264,abazera
L265,abazeria
L266,abazeru
L267,abazkatu
L268,abazuza
L269,abazuzaka
L270,abazuzi
L273,abegi
L274,abegiar
L275,abegitasun
L276,abegitsu
L277,abegor
L278,abegortu
L279,abegune
L280,abekatu
L282,abel
L283,abela
L284,abelari
L285,abelarri
L286,abelarte
L287,abelburu
L288,abeldi
L289,abeldun
L290,abelera
L291,abeletxe
L292,abelgorri
L293,abeljale
L294,abelkera
L295,abelkume
L296,abelmutu
L297,abelpe
L298,abeltegi
L299,abeltxe
L300,abeltzain
L301,abeltzaintza
L302,abeltzale
L303,abemarietako
L304,abenda
L305,abenderri
L306,abendu
L307,abenikoa
L308,abenitu
L309,abenka
L310,abentau
L311,aberasbide
L312,aberasgai
L313,aberasgarri
L314,aberasgoa
L315,aberaska
L316,aberaskeria
L317,aberasketa
L318,aberaski
L319,aberaskiro
L320,aberaskitegi
L321,aberaskitza
L322,aberaskizun
L323,aberasko
L324,aberaskume
L325,aberastasun
L326,aberaste
L327,aberastu
L328,aberastura
L329,aberats
L330,aberatsaile
L331,aberatserazi
L332,aberatserazitzaile
L333,aberatsi
L334,aberbio
L335,abere
L336,aberedi
L337,aberegaitasun
L338,abereil
L339,aberekeria
L340,abereketa
L341,abereki
L342,aberekinde
L343,aberekor
L344,aberekuntza
L346,abereño
L345,aberentü
L347,aberero
L348,aberetar
L349,aberetasun
L350,aberete
L351,abereti
L352,aberetsu
L353,aberetu
L354,aberetxo
L355,aberetza
L356,aberetzar
L357,aberexka
L358,aberezko
L359,aberi
L360,aberkide
L361,aberkoi
L362,aberri
L363,abertentzi
L364,abertimendu
L365,abertitu
L366,abertzai
L367,abertzale
L368,abertzalego
L369,abertzalekeria
L370,abertzaletasun
L371,abertzaletu
L372,abes
L373,abesau
L374,abesbatza
L375,abesbeluan
L376,abesgai
L377,abeska
L378,abeskera
L379,abeskide
L380,abeskunde
L381,abeslari
L382,abesle
L383,abestaldi
L384,abesti
L385,abestiño
L386,abestu
L387,abetaldu
L388,abetalpen
L391,abeurrea
L392,abeze
L393,abezekiro
L394,abia
L396,abiaburu
L397,abiada
L398,abiadura
L399,abiaginean
L400,abiagune
L401,abiajon
L402,abiakera
L403,abialdi
L404,abiamen
L405,abian
L407,abiarazi
L409,abiatu
L412,abiatzaile
L413,abiatze
L414,abiduri
L415,abigorri
L416,abijoi
L417,abil
L418,abilamendu
L419,abilarri
L420,abilatu
L421,abildu
L422,abileta
L423,abilezia
L424,abilidade
L425,abilkeria
L426,abilki
L427,abiltasun
L428,abilua
L430,abioi
L431,abiondoko
L433,abirazai
L434,abiroin
L435,abisa
L436,abisatu
L437,abisatzaile
L438,abismatu
L439,abisme
L440,abistu
L441,abistuka
L442,abisu
L445,abitu
L446,abixeta
L447,abixoi
L448,abixon
L449,abixonka
L450,abizen
L451,abo
L452,aboatu
L453,abogadu
L454,abogadutza
L455,abogatu
L456,abonadu
L457,abonamendu
L458,abondanki
L459,abondant
L460,abondantzia
L461,abondo
L462,abonitu
L463,abonu
L464,abor
L465,abori
L468,aborrentzi
L469,aborrezimentu
L470,aborrezitu
L471,aborrigarri
L472,aborrimendu
L473,aborritu
L474,abortza
L475,aboska
L476,abrailla
L477,abrasma
L478,abrasmakiro
L479,abrasmatasun
L480,abrats
L481,abre
L482,abrebasle
L483,abreña
L484,abrigu
L485,abrikot
L486,abrikotze
L487,abrio
L488,abrunada
L489,abruska
L490,absintio
L491,absolbatu
L492,absolbazino
L493,absolbiarazi
L494,absolbitu
L495,absolitu
L496,absolutamente
L497,absolutoki
L498,absolutu
L499,absoluzio
L500,absoluzione
L501,abstinent
L502,abstinenzia
L503,abstraktu
L504,abstraktuki
L505,abstrakzione
L506,absurdo
L507,abu
L509,abudo
L510,abuila
L514,abuja
L515,abundantzia
L516,abundos
L517,abundoski
L518,abundu
L519,abuntun
L520,abur
L521,aburdiko
L522,aburikai
L525,aburmo
L526,aburna
L527,aburrell
L528,aburritu
L529,aburska
L530,aburtoin
L531,aburu
L532,aburuka
L533,aburumenka
L534,aburupen
L535,aburupenka
L536,abusagailu
L537,abusamendu
L538,abusari
L539,abusatu
L540,abusta
L541,abusu
L542,abuz
L543,abuztu
L544,adabaketa
L545,adabaki
L546,adabakitu
L547,adabatu
L548,adabatzaile
L549,adabazain
L550,adabegi
L551,adabegitsu
L552,adaburu
L553,adaburutsu
L554,adaburutu
L555,adagili
L556,adaite
L557,adaje
L558,adaka
L559,adakai
L560,adakaitu
L561,adakatu
L562,adakera
L563,adaki
L564,adako
L565,adalera
L566,adan
L568,adañi
L567,adantzu
L569,adapo
L570,adapotsu
L571,adar
L572,adarbakar
L573,adarbakoitz
L574,adarbegi
L575,adarburu
L576,adardi
L577,adardun
L578,adareta
L579,adarga
L580,adargabe
L581,adargabetu
L582,adargetu
L583,adargili
L584,adargoi
L585,adargune
L586,adarka
L587,adarkada
L588,adarkadura
L589,adarkaiztu
L590,adarkari
L591,adarkatu
L592,adarkazo
L593,adarkera
L594,adarme
L595,adarraki
L596,adarraldi
L597,adarratu
L598,adarreko
L599,adarreztatu
L600,adarrondo
L601,adarrondotsu
L602,adarroska
L603,adarrune
L604,adarsko
L605,adarta
L606,adartsu
L607,adartu
L608,adarturunta
L609,adartxo
L610,adarxka
L611,adarzkari
L612,adasdun
L613,adaska
L614,adaskadun
L615,adaskatu
L616,adaskatxo
L617,adasko
L618,adasta
L619,adasti
L620,adastu
L621,adats
L622,adausi
L623,adausigile
L624,adausika
L625,adaxka
L626,adberbio
L627,adbertentzia
L628,adbertitu
L629,addar
L630,adegi
L631,adei
L632,adeibera
L633,adeigarri
L634,adeikeria
L635,adeiki
L636,adeimai
L637,adeitasun
L638,adeitsu
L639,adelakai
L640,adelatu
L641,adelazale
L642,adelu
L643,aderaillu
L644,aderaskin
L645,aderdi
L646,adere
L647,aderlaua
L648,aderna
L649,adesa
L650,adexkide
L651,adi
L652,adia
L653,adiagile
L654,adiaira
L655,adiaka
L656,adiakari
L657,adiakatu
L658,adialdu
L659,adialdun
L660,adialtze
L661,adiazale
L662,adiazi
L663,adiba
L664,adibestetu
L665,adibide
L666,adibidetu
L667,adidun
L668,adiera
