bibItem,creatorstatement,propLabel,listpos,givenName,lastName,fullName,fullName_clusters,fullName_recon_Wikidata,Wikidata_Qid,fullName_recon_Wikibase,Wikibase_search
https://dhwiki.wikibase.cloud/entity/Q273,https://dhwiki.wikibase.cloud/entity/statement/Q273-485519D9-A015-4E67-8B08-1C800BF549AF,Author,4,,,"Mignosa, A.","Mignosa, A.","Mignosa, A.",,"Mignosa, A.","{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q273,https://dhwiki.wikibase.cloud/entity/statement/Q273-67FFA8DF-2CE9-46A7-8B69-4891FD7160D1,Author,5,,,"Sani, M.","Sani, M.","Sani, M.",,"Sani, M.","{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q273,https://dhwiki.wikibase.cloud/entity/statement/Q273-CA7433EB-9671-4F81-87A2-C2796CF36225,Author,3,,,"Marçal, E.","Marçal, E.","Marçal, E.",,"Marçal, E.","{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q273,https://dhwiki.wikibase.cloud/entity/statement/Q273-F9833E60-4C08-4891-B6B6-938587AC191C,Author,2,,,"Lagerqvist, B.","Lagerqvist, B.","Lagerqvist, B.",,"Lagerqvist, B.","{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q259,https://dhwiki.wikibase.cloud/entity/statement/Q259-C33281DA-D4C1-4AFA-BA10-906287BD160F,Author,1,,,"Lezcano González,María Elvira  et al.","Lezcano González,María Elvira  et al.","Lezcano González,María Elvira  et al.",,"Lezcano González,María Elvira  et al.","{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q269,https://dhwiki.wikibase.cloud/entity/statement/Q269-1BC4F41D-B395-4563-A454-F814D7A3B1E7,Author,5,,,Newman C.,Newman C.,Newman C.,,Newman C.,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q269,https://dhwiki.wikibase.cloud/entity/statement/Q269-62DDA359-5CFE-4E96-92F3-BB55AF4E10D1,Author,3,,,"Marçal, E.","Marçal, E.","Marçal, E.",,"Marçal, E.","{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q269,https://dhwiki.wikibase.cloud/entity/statement/Q269-771BB143-16EF-48D8-9E0B-9E891F09BC7A,Author,2,,,"Lagerqvist, B.","Lagerqvist, B.","Lagerqvist, B.",,"Lagerqvist, B.","{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q269,https://dhwiki.wikibase.cloud/entity/statement/Q269-A1D8C28B-CE62-45B1-9B71-17B4760F4077,Author,4,,,"Mignosa, A.","Mignosa, A.","Mignosa, A.",,"Mignosa, A.","{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q275,https://dhwiki.wikibase.cloud/entity/statement/Q275-2B560BEB-D19C-4DDD-8B2F-74800BB68DE1,Editor,1,,,Centro de Fotografía de Motevideo,Centro de Fotografía de Motevideo,Centro de Fotografía de Motevideo,,Centro de Fotografía de Motevideo,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
