bibItem,creatorstatement,propLabel,listpos,givenName,lastName,fullName,fullName_clusters,fullName_recon_Wikidata,fullName_recon_Wikibase
https://dhwiki.wikibase.cloud/entity/Q275,https://dhwiki.wikibase.cloud/entity/statement/Q275-2B560BEB-D19C-4DDD-8B2F-74800BB68DE1,Editor,1,,,Centro de Fotografía de Motevideo,Centro de Fotografía de Motevideo,Centro de Fotografía de Motevideo,Centro de Fotografía de Motevideo
https://dhwiki.wikibase.cloud/entity/Q207,https://dhwiki.wikibase.cloud/entity/statement/Q207-0B777160-979F-4C87-ADAB-520E4C7F5D99,Author,1,,,Gustavo Candela,Gustavo Candela,Gustavo Candela,Gustavo Candela
https://dhwiki.wikibase.cloud/entity/Q250,https://dhwiki.wikibase.cloud/entity/statement/Q250-04B469C3-D352-4CAA-8DF2-AC9F55CB745E,Author,1,,,"European Commission. Directorate General for Communications Networks, Content and Technology.","European Commission. Directorate General for Communications Networks, Content and Technology.","European Commission. Directorate General for Communications Networks, Content and Technology.","European Commission. Directorate General for Communications Networks, Content and Technology."
https://dhwiki.wikibase.cloud/entity/Q273,https://dhwiki.wikibase.cloud/entity/statement/Q273-485519D9-A015-4E67-8B08-1C800BF549AF,Author,4,,,"Mignosa, A.","Mignosa, A.","Mignosa, A.","Mignosa, A."
https://dhwiki.wikibase.cloud/entity/Q273,https://dhwiki.wikibase.cloud/entity/statement/Q273-67FFA8DF-2CE9-46A7-8B69-4891FD7160D1,Author,5,,,"Sani, M.","Sani, M.","Sani, M.","Sani, M."
https://dhwiki.wikibase.cloud/entity/Q273,https://dhwiki.wikibase.cloud/entity/statement/Q273-79D683DC-06A3-4DF7-A736-5E1507887270,Author,1,,,"Corr, S.","Corr, S.","Corr, S.","Corr, S."
https://dhwiki.wikibase.cloud/entity/Q273,https://dhwiki.wikibase.cloud/entity/statement/Q273-CA7433EB-9671-4F81-87A2-C2796CF36225,Author,3,,,"Marçal, E.","Marçal, E.","Marçal, E.","Marçal, E."
https://dhwiki.wikibase.cloud/entity/Q273,https://dhwiki.wikibase.cloud/entity/statement/Q273-F9833E60-4C08-4891-B6B6-938587AC191C,Author,2,,,"Lagerqvist, B.","Lagerqvist, B.","Lagerqvist, B.","Lagerqvist, B."
https://dhwiki.wikibase.cloud/entity/Q259,https://dhwiki.wikibase.cloud/entity/statement/Q259-C33281DA-D4C1-4AFA-BA10-906287BD160F,Author,1,,,"Lezcano González,María Elvira  et al.","Lezcano González,María Elvira  et al.","Lezcano González,María Elvira  et al.","Lezcano González,María Elvira  et al."
https://dhwiki.wikibase.cloud/entity/Q265,https://dhwiki.wikibase.cloud/entity/statement/Q265-B2B72BE7-47D0-4818-A239-DC3E7787696E,Author,1,,,Carolina Matos,Carolina Matos,Carolina Matos,Carolina Matos
