bibItem,creatorstatement,propLabel,listpos,givenName,lastName,fullName,fullName_clusters,fullName_recon_Wikidata,fullName_recon_Wikibase
https://eneoli.wikibase.cloud/entity/Q995,https://eneoli.wikibase.cloud/entity/statement/Q995-73C7746B-A41E-4928-BC02-F546359DC355,Author,1,,,(:Unap),(:Unap),(:Unap),(:Unap)
https://eneoli.wikibase.cloud/entity/Q1045,https://eneoli.wikibase.cloud/entity/statement/Q1045-5F57FC3A-4019-4681-B8E4-202254971BD3,Author,1,,,"""","""","""",""""
https://eneoli.wikibase.cloud/entity/Q1045,https://eneoli.wikibase.cloud/entity/statement/Q1045-72744521-E5F0-4670-8CB7-CA82BDB9CF74,Author,2,,,"Institut de philologie roumaine « Bogdan Petriceicu-Hasdeu », Chișinău (République de Moldavie)""","Institut de philologie roumaine « Bogdan Petriceicu-Hasdeu », Chișinău (République de Moldavie)""","Institut de philologie roumaine « Bogdan Petriceicu-Hasdeu », Chișinău (République de Moldavie)""","Institut de philologie roumaine « Bogdan Petriceicu-Hasdeu », Chișinău (République de Moldavie)"""
https://eneoli.wikibase.cloud/entity/Q1037,https://eneoli.wikibase.cloud/entity/statement/Q1037-68508DE5-8620-4E42-8DA8-DECFE0218F1E,Author,3,,,“Bogdan Petriceicu-Hasdeu” Institute of Romanian Philology,“Bogdan Petriceicu-Hasdeu” Institute of Romanian Philology,“Bogdan Petriceicu-Hasdeu” Institute of Romanian Philology,“Bogdan Petriceicu-Hasdeu” Institute of Romanian Philology
https://eneoli.wikibase.cloud/entity/Q1037,https://eneoli.wikibase.cloud/entity/statement/Q1037-FC330BB3-2A20-44DC-A85F-CAD4815C8F9C,Author,5,,,“Bogdan Petriceicu-Hasdeu” Institute of Romanian Philology,“Bogdan Petriceicu-Hasdeu” Institute of Romanian Philology,“Bogdan Petriceicu-Hasdeu” Institute of Romanian Philology,“Bogdan Petriceicu-Hasdeu” Institute of Romanian Philology
https://eneoli.wikibase.cloud/entity/Q536,https://eneoli.wikibase.cloud/entity/statement/Q536-17F39861-69EE-4BC2-838D-B70017833904,Author,1,Andrea,Abel,Andrea Abel,Andrea Abel,Andrea Abel,Andrea Abel
https://eneoli.wikibase.cloud/entity/Q407,https://eneoli.wikibase.cloud/entity/statement/Q407-F127A4E5-8BFB-4D1F-BFB1-896785399725,Author,2,Andreina,Adelstein,Andreina Adelstein,Andreina Adelstein,Andreina Adelstein,Andreina Adelstein
https://eneoli.wikibase.cloud/entity/Q528,https://eneoli.wikibase.cloud/entity/statement/Q528-17C3473D-2B93-479A-A59D-5594BEAF70A5,Author,1,Andreína,Adelstein,Andreína Adelstein,Andreína Adelstein,Andreína Adelstein,Andreína Adelstein
https://eneoli.wikibase.cloud/entity/Q549,https://eneoli.wikibase.cloud/entity/statement/Q549-D0ED5993-D6D6-4AEC-BDFD-41DCE978AFC7,Author,1,Vasiliki,Afentoulidou,Vasiliki Afentoulidou,Vasiliki Afentoulidou,Vasiliki Afentoulidou,Vasiliki Afentoulidou
https://eneoli.wikibase.cloud/entity/Q520,https://eneoli.wikibase.cloud/entity/statement/Q520-69F5276B-769B-4CD0-953D-94BA48C3706B,Author,1,Michael,Agnes,Michael Agnes,Michael Agnes,Michael Agnes,Michael Agnes
