token,offset_index,anchor,eltec_id,oliacat,oliacatLabel,lexeme,lemma
https://serbian.wikibase.cloud/entity/Q202,134,1893,SRP18520.txt#offset_130_134,https://serbian.wikibase.cloud/entity/Q21,Numeral,,
https://serbian.wikibase.cloud/entity/Q203,49,НАПИСАО,SRP18520.txt#offset_42_49,https://serbian.wikibase.cloud/entity/Q22,Verb,,
https://serbian.wikibase.cloud/entity/Q204,2,10,SRP18520.txt#offset_0_2,https://serbian.wikibase.cloud/entity/Q21,Numeral,,
https://serbian.wikibase.cloud/entity/Q205,9,СРПСКА,SRP18520.txt#offset_3_9,https://serbian.wikibase.cloud/entity/Q31,Adjective,,
https://serbian.wikibase.cloud/entity/Q206,100075,.,SRP18520.txt#offset_100074_100075,https://serbian.wikibase.cloud/entity/Q23,Punctuation,,
https://serbian.wikibase.cloud/entity/Q207,100074,идол,SRP18520.txt#offset_100070_100074,https://serbian.wikibase.cloud/entity/Q29,Common Noun,,
https://serbian.wikibase.cloud/entity/Q208,100078,И,SRP18520.txt#offset_100077_100078,https://serbian.wikibase.cloud/entity/Q24,Coordinating Conjunction,,
https://serbian.wikibase.cloud/entity/Q209,100083,тако,SRP18520.txt#offset_100079_100083,https://serbian.wikibase.cloud/entity/Q28,Adverb,,
https://serbian.wikibase.cloud/entity/Q210,100205,.,SRP18520.txt#offset_100204_100205,https://serbian.wikibase.cloud/entity/Q23,Punctuation,,
https://serbian.wikibase.cloud/entity/Q211,100204,народности,SRP18520.txt#offset_100194_100204,https://serbian.wikibase.cloud/entity/Q29,Common Noun,,
https://serbian.wikibase.cloud/entity/Q212,100208,А,SRP18520.txt#offset_100207_100208,https://serbian.wikibase.cloud/entity/Q25,Residual,,
https://serbian.wikibase.cloud/entity/Q213,100212,ово,SRP18520.txt#offset_100209_100212,https://serbian.wikibase.cloud/entity/Q26,Determiner,,
https://serbian.wikibase.cloud/entity/Q214,10028,!,SRP18520.txt#offset_10027_10028,https://serbian.wikibase.cloud/entity/Q23,Punctuation,,
https://serbian.wikibase.cloud/entity/Q215,10027,заборавити,SRP18520.txt#offset_10017_10027,https://serbian.wikibase.cloud/entity/Q22,Verb,,
https://serbian.wikibase.cloud/entity/Q216,100301,.,SRP18520.txt#offset_100300_100301,https://serbian.wikibase.cloud/entity/Q23,Punctuation,,
https://serbian.wikibase.cloud/entity/Q217,100300,народност,SRP18520.txt#offset_100291_100300,https://serbian.wikibase.cloud/entity/Q29,Common Noun,,
https://serbian.wikibase.cloud/entity/Q218,100305,Но,SRP18520.txt#offset_100303_100305,https://serbian.wikibase.cloud/entity/Q24,Coordinating Conjunction,,
https://serbian.wikibase.cloud/entity/Q219,100310,међу,SRP18520.txt#offset_100306_100310,https://serbian.wikibase.cloud/entity/Q30,Adposition,,
https://serbian.wikibase.cloud/entity/Q220,10032,Ал,SRP18520.txt#offset_10030_10032,https://serbian.wikibase.cloud/entity/Q24,Coordinating Conjunction,,
https://serbian.wikibase.cloud/entity/Q221,10034,’,SRP18520.txt#offset_10033_10034,https://serbian.wikibase.cloud/entity/Q23,Punctuation,,
https://serbian.wikibase.cloud/entity/Q222,100521,.,SRP18520.txt#offset_100520_100521,https://serbian.wikibase.cloud/entity/Q23,Punctuation,,
https://serbian.wikibase.cloud/entity/Q223,100520,налажаху,SRP18520.txt#offset_100512_100520,https://serbian.wikibase.cloud/entity/Q22,Verb,,
https://serbian.wikibase.cloud/entity/Q224,100526,Ови,SRP18520.txt#offset_100523_100526,https://serbian.wikibase.cloud/entity/Q26,Determiner,,
https://serbian.wikibase.cloud/entity/Q225,100529,се,SRP18520.txt#offset_100527_100529,https://serbian.wikibase.cloud/entity/Q36,Particle,,
https://serbian.wikibase.cloud/entity/Q226,100648,.,SRP18520.txt#offset_100647_100648,https://serbian.wikibase.cloud/entity/Q23,Punctuation,,
https://serbian.wikibase.cloud/entity/Q227,100647,свога,SRP18520.txt#offset_100642_100647,https://serbian.wikibase.cloud/entity/Q26,Determiner,,
https://serbian.wikibase.cloud/entity/Q228,100654,Међу,SRP18520.txt#offset_100650_100654,https://serbian.wikibase.cloud/entity/Q27,Proper Noun,,
https://serbian.wikibase.cloud/entity/Q229,100660,овима,SRP18520.txt#offset_100655_100660,https://serbian.wikibase.cloud/entity/Q33,Pronoun,,
https://serbian.wikibase.cloud/entity/Q230,100857,.,SRP18520.txt#offset_100856_100857,https://serbian.wikibase.cloud/entity/Q23,Punctuation,,
https://serbian.wikibase.cloud/entity/Q231,100856,Србе,SRP18520.txt#offset_100852_100856,https://serbian.wikibase.cloud/entity/Q27,Proper Noun,,
https://serbian.wikibase.cloud/entity/Q232,100862,Али,SRP18520.txt#offset_100859_100862,https://serbian.wikibase.cloud/entity/Q24,Coordinating Conjunction,,
https://serbian.wikibase.cloud/entity/Q233,100867,било,SRP18520.txt#offset_100863_100867,https://serbian.wikibase.cloud/entity/Q35,Auxiliary Verb,,
https://serbian.wikibase.cloud/entity/Q234,101011,.,SRP18520.txt#offset_101010_101011,https://serbian.wikibase.cloud/entity/Q23,Punctuation,,
https://serbian.wikibase.cloud/entity/Q235,101010,поштења,SRP18520.txt#offset_101003_101010,https://serbian.wikibase.cloud/entity/Q29,Common Noun,,
https://serbian.wikibase.cloud/entity/Q236,101016,Међ,SRP18520.txt#offset_101013_101016,https://serbian.wikibase.cloud/entity/Q28,Adverb,,
https://serbian.wikibase.cloud/entity/Q237,101022,овима,SRP18520.txt#offset_101017_101022,https://serbian.wikibase.cloud/entity/Q26,Determiner,,
https://serbian.wikibase.cloud/entity/Q238,101042,.,SRP18520.txt#offset_101041_101042,https://serbian.wikibase.cloud/entity/Q23,Punctuation,,
https://serbian.wikibase.cloud/entity/Q239,101041,муж,SRP18520.txt#offset_101038_101041,https://serbian.wikibase.cloud/entity/Q29,Common Noun,,
https://serbian.wikibase.cloud/entity/Q240,101052,Отпадник,SRP18520.txt#offset_101044_101052,https://serbian.wikibase.cloud/entity/Q29,Common Noun,,
https://serbian.wikibase.cloud/entity/Q241,101054,и,SRP18520.txt#offset_101053_101054,https://serbian.wikibase.cloud/entity/Q24,Coordinating Conjunction,,
https://serbian.wikibase.cloud/entity/Q242,101077,!,SRP18520.txt#offset_101076_101077,https://serbian.wikibase.cloud/entity/Q23,Punctuation,,
https://serbian.wikibase.cloud/entity/Q243,101076,убио,SRP18520.txt#offset_101072_101076,https://serbian.wikibase.cloud/entity/Q22,Verb,,
https://serbian.wikibase.cloud/entity/Q244,101082,Ови,SRP18520.txt#offset_101079_101082,https://serbian.wikibase.cloud/entity/Q26,Determiner,,
https://serbian.wikibase.cloud/entity/Q245,101083,",",SRP18520.txt#offset_101082_101083,https://serbian.wikibase.cloud/entity/Q23,Punctuation,,
https://serbian.wikibase.cloud/entity/Q246,101246,!,SRP18520.txt#offset_101245_101246,https://serbian.wikibase.cloud/entity/Q23,Punctuation,,
https://serbian.wikibase.cloud/entity/Q247,101245,пропало,SRP18520.txt#offset_101238_101245,https://serbian.wikibase.cloud/entity/Q22,Verb,,
https://serbian.wikibase.cloud/entity/Q248,101250,Па,SRP18520.txt#offset_101248_101250,https://serbian.wikibase.cloud/entity/Q24,Coordinating Conjunction,,
https://serbian.wikibase.cloud/entity/Q249,101254,још,SRP18520.txt#offset_101251_101254,https://serbian.wikibase.cloud/entity/Q28,Adverb,,
https://serbian.wikibase.cloud/entity/Q250,101353,!,SRP18520.txt#offset_101352_101353,https://serbian.wikibase.cloud/entity/Q23,Punctuation,,
https://serbian.wikibase.cloud/entity/Q251,101352,цара,SRP18520.txt#offset_101348_101352,https://serbian.wikibase.cloud/entity/Q29,Common Noun,,
https://serbian.wikibase.cloud/entity/Q252,101359,Онда,SRP18520.txt#offset_101355_101359,https://serbian.wikibase.cloud/entity/Q28,Adverb,,
https://serbian.wikibase.cloud/entity/Q253,101363,још,SRP18520.txt#offset_101360_101363,https://serbian.wikibase.cloud/entity/Q28,Adverb,,
https://serbian.wikibase.cloud/entity/Q254,101477,.,SRP18520.txt#offset_101476_101477,https://serbian.wikibase.cloud/entity/Q23,Punctuation,,
https://serbian.wikibase.cloud/entity/Q255,101476,благосиља,SRP18520.txt#offset_101467_101476,https://serbian.wikibase.cloud/entity/Q22,Verb,,
